codigo;dist_centro;nome;longitude;latitude;peso;dist_cap;id_centro;id_cidade
3530300;25,243289;Mirassol;49,521111;-20,819167;3320;424;5406;5152
3530409;19,317649;Mirassol�ndia;49,463889;-20,616667;3000;436;5406;5153
3530508;37,688398;Mococa;47,004722;-21,467778;9000;233;4918;5154
3530607;85,041571;Moji das Cruzes;46,188333;-23,522778;530;46;5416;5155
3530706;60,557408;Mogi Gua�u;46,942222;-22,372222;1300;134;4920;5156
3530805;53,729348;Moji-Mirim;46,957778;-22,431944;1600;128;4920;5157
3530904;46,198175;Mombuca;47,566111;-22,929167;360;117;5084;5158
3531001;35,870748;Mon��es;50,091667;-20,850278;750;465;5005;5159
3531100;38,653716;Mongagu�;46,620833;-24,093056;0;60;5023;5160
3531209;33,235858;Monte Alegre do Sul;46,680833;-22,681944;650;96;4898;5161
3531308;34,711551;Monte Alto;48,496389;-21,261111;1500;317;4880;5162
3531407;17,602445;Monte Apraz�vel;49,714167;-20,7725;9100;442;5406;5163
3531506;17,495099;Monte Azul Paulista;48,641389;-20,907222;950;358;4880;5164
3531605;9,0857116;Monte Castelo;51,568611;-21,299444;3300;566;5429;5165
3531704;30,139242;Monteiro Lobato;45,839722;-22,956667;1150;105;5416;5166
3531803;26,519461;Monte Mor;47,315833;-22,946667;5850;96;4920;5167
3531902;52,266239;Morro Agudo;48,057778;-20,731389;1200;345;4878;5168
3532009;26,80579;Morungaba;46,791667;-22,88;790;76;4898;5169
3532058;59,301605;Motuca;48,151111;-21,508056;350;274;4887;5170
3532108;24,010864;Murutinga do Sul;51,2775;-20,993333;2790;556;5150;5171
3532157;53,237548;Nantes;51,236944;-22,620556;2000;482;5140;5172
3532207;46,581945;Narandiba;51,524444;-22,407222;3000;517;5140;5173
3532306;40,527936;Natividade da Serra;45,441944;-23,375556;3958;123;5416;5174
3532405;29,594415;Nazar� Paulista;46,395;-23,181111;3000;47;4898;5175
3532504;24,522438;Neves Paulista;49,629722;-20,846111;3670;430;5406;5176
3532603;33,917559;Nhandeara;50,038333;-20,694167;10665;472;5005;5177
3532702;34,605107;Nipo�;49,777778;-20,913333;2140;436;5406;5178
3532801;20,374191;Nova Alian�a;49,496111;-21,015833;1900;407;5102;5179
3532827;37,318875;Nova Campina;48,903611;-24,120833;98;240;5060;5180
3532843;19,811527;Nova Cana� Paulista;50,949167;-20,385833;1150;567;5208;5181
3532868;12,889369;Nova Castilho;50,343056;-20,763056;3200;491;5005;5182
3532900;29,585317;Nova Europa;48,560833;-21,778333;450;278;4887;5183
3533007;36,368468;Nova Granada;49,314167;-20,533889;15313;433;5406;5184
3533106;9,2004189;Nova Guataporanga;51,643889;-21,334444;700;571;5429;5185
3533205;31,945276;Nova Independ�ncia;51,49;-21,103889;1400;569;5429;5186
3533254;61,505007;Novais;48,918611;-20,992222;215;368;5190;5187
3533304;25,295814;Nova Luzit�nia;50,261667;-20,856111;1630;478;5005;5188
3533403;27,984298;Nova Odessa;47,295833;-22,7775;615;109;4920;5189
3533502;0;Novo Horizonte;49,220833;-21,468056;3320;352;5190;5190
3533601;23,384259;Nuporanga;47,730556;-20,730833;3812;332;4878;5191
3533700;37,386994;Ocau�u;49,922778;-22,438889;793;359;5002;5192
